SCHEME: 0 (v1 Independent Thresholds)
METRIC_CONF: Base=0.001, Large=0.2, Small=0.6
------------------------------------------------------------------------------------------
Class      | P          | R          | mAP@.50    | mAP@.5-.95  
0          | 0.4536     | 0.4359     | 0.4037     | 0.3584
1          | 0.3466     | 0.5364     | 0.3383     | 0.2887
2          | 0.3754     | 0.3878     | 0.3825     | 0.3241
3          | 0.6526     | 0.3500     | 0.4167     | 0.3118
4          | 0.3340     | 0.5781     | 0.5092     | 0.4465
5          | 0.3498     | 0.5547     | 0.5365     | 0.4571
6          | 0.7968     | 0.4272     | 0.5446     | 0.4363
7          | 0.8149     | 0.5223     | 0.6447     | 0.5084
8          | 0.8133     | 0.5876     | 0.6940     | 0.5653
9          | 0.6895     | 0.1133     | 0.2392     | 0.1701
10         | 0.4710     | 0.3924     | 0.3531     | 0.2715
11         | 0.5102     | 0.4506     | 0.4320     | 0.3618
12         | 0.7484     | 0.0419     | 0.1453     | 0.0820
13         | 0.7862     | 0.0160     | 0.0342     | 0.0264
------------------------------------------------------------------------------------------
ALL        | 0.5816     | 0.3853     | 0.4053     | 0.3292
